SOUID,    DATE,   CC, Q_CC
105626,19790101,    4,    0
105626,19790102,    8,    0
105626,19790103,    5,    0
105626,19790104,    5,    0
105626,19790105,    4,    0
105626,19790106,    3,    0
105626,19790107,    4,    0
105626,19790108,    1,    0
105626,19790109,    4,    0
105626,19790110,    7,    0
105626,19790111,    5,    0
105626,19790112,    8,    0
105626,19790113,    8,    0
105626,19790114,    8,    0
105626,19790115,    8,    0
105626,19790116,    6,    0
105626,19790117,    5,    0
105626,19790118,    8,    0
105626,19790119,    8,    0
105626,19790120,    8,    0
105626,19790121,    6,    0
105626,19790122,    2,    0
105626,19790123,    5,    0
105626,19790124,    5,    0
105626,19790125,    8,    0
105626,19790126,    8,    0
105626,19790127,    6,    0
105626,19790128,    7,    0
105626,19790129,    6,    0
105626,19790130,    5,    0
105626,19790131,    7,    0
105626,19790201,    5,    0
105626,19790202,    6,    0
105626,19790203,    7,    0
105626,19790204,    8,    0
105626,19790205,    7,    0
105626,19790206,    8,    0
105626,19790207,    2,    0
105626,19790208,    7,    0
105626,19790209,    3,    0
105626,19790210,    8,    0
105626,19790211,    7,    0
105626,19790212,    6,    0
105626,19790213,    7,    0
105626,19790214,    6,    0
105626,19790215,    7,    0
105626,19790216,    5,    0
105626,19790217,    8,    0
105626,19790218,    8,    0
105626,19790219,    5,    0
105626,19790220,    2,    0
105626,19790221,    0,    0
105626,19790222,    0,    0
105626,19790223,    0,    0
105626,19790224,    0,    0
105626,19790225,    3,    0
105626,19790226,    0,    0
105626,19790227,    4,    0
105626,19790228,    7,    0
105626,19790301,    1,    0
105626,19790302,    0,    0
105626,19790303,    4,    0
105626,19790304,    1,    0
105626,19790305,    5,    0
105626,19790306,    0,    0
105626,19790307,    0,    0
105626,19790308,    5,    0
105626,19790309,    4,    0
105626,19790310,    6,    0
105626,19790311,    7,    0
105626,19790312,    8,    0
105626,19790313,    4,    0
105626,19790314,    2,    0
105626,19790315,    0,    0
105626,19790316,    7,    0
105626,19790317,    3,    0
105626,19790318,    4,    0
105626,19790319,    3,    0
105626,19790320,    2,    0
105626,19790321,    3,    0
105626,19790322,    5,    0
105626,19790323,    7,    0
105626,19790324,    3,    0
105626,19790325,    1,    0
105626,19790326,    6,    0
105626,19790327,    8,    0
105626,19790328,    4,    0
105626,19790329,    6,    0
105626,19790330,    4,    0
105626,19790331,    3,    0
105626,19790401,    7,    0
105626,19790402,    8,    0
105626,19790403,    7,    0
105626,19790404,    5,    0
105626,19790405,    8,    0
105626,19790406,    5,    0
105626,19790407,    3,    0
105626,19790408,    7,    0
105626,19790409,    6,    0
105626,19790410,    6,    0
105626,19790411,    7,    0
105626,19790412,    1,    0
105626,19790413,    3,    0
105626,19790414,    0,    0
105626,19790415,    0,    0
105626,19790416,    7,    0
