SOUID,    DATE,   RR, Q_RR
100814,19790101,   78,    0
100814,19790102,   15,    0
100814,19790103,    3,    0
100814,19790104,  104,    0
100814,19790105,    2,    0
100814,19790106,    0,    0
100814,19790107,    0,    0
100814,19790108,    0,    0
100814,19790109,    0,    0
100814,19790110,    0,    0
100814,19790111,    0,    0
100814,19790112,   77,    0
100814,19790113,    0,    0
100814,19790114,   75,    0
100814,19790115,   47,    0
100814,19790116,    0,    0
100814,19790117,    0,    0
100814,19790118,    9,    0
100814,19790119,    1,    0
100814,19790120,    0,    0
100814,19790121,    0,    0
100814,19790122,    0,    0
100814,19790123,    8,    0
100814,19790124,    2,    0
100814,19790125,   50,    0
100814,19790126,   18,    0
100814,19790127,    0,    0
100814,19790128,    0,    0
100814,19790129,   21,    0
100814,19790130,    6,    0
100814,19790131,    9,    0
100814,19790201,    0,    0
100814,19790202,    0,    0
100814,19790203,   43,    0
100814,19790204,  189,    0
100814,19790205,    2,    0
100814,19790206,   31,    0
100814,19790207,    0,    0
100814,19790208,    0,    0
100814,19790209,    4,    0
100814,19790210,   38,    0
100814,19790211,    0,    0
100814,19790212,    0,    0
100814,19790213,    9,    0
100814,19790214,   28,    0
100814,19790215,    0,    0
100814,19790216,    5,    0
100814,19790217,    0,    0
100814,19790218,    0,    0
100814,19790219,    0,    0
100814,19790220,    0,    0
100814,19790221,    0,    0
100814,19790222,    0,    0
100814,19790223,    0,    0
100814,19790224,    0,    0
100814,19790225,    0,    0
100814,19790226,    0,    0
100814,19790227,    0,    0
100814,19790228,    0,    0
100814,19790301,    0,    0
100814,19790302,    0,    0
100814,19790303,    0,    0
100814,19790304,    0,    0
100814,19790305,    0,    0
100814,19790306,    0,    0
100814,19790307,    0,    0
100814,19790308,    4,    0
100814,19790309,    0,    0
100814,19790310,    0,    0
100814,19790311,    0,    0
100814,19790312,    0,    0
100814,19790313,    0,    0
100814,19790314,    0,    0
100814,19790315,    0,    0
100814,19790316,    3,    0
100814,19790317,    0,    0
100814,19790318,    0,    0
100814,19790319,    0,    0
100814,19790320,    0,    0
100814,19790321,    1,    0
100814,19790322,    0,    0
100814,19790323,    5,    0
100814,19790324,    1,    0
100814,19790325,    0,    0
100814,19790326,   24,    0
100814,19790327,   96,    0
100814,19790328,    8,    0
100814,19790329,   17,    0
100814,19790330,    0,    0
100814,19790331,    0,    0
100814,19790401,   59,    0
100814,19790402,   60,    0
100814,19790403,    4,    0
100814,19790404,    0,    0
100814,19790405,   37,    0
100814,19790406,    8,    0
100814,19790407,    0,    0
100814,19790408,   21,    0
100814,19790409,    0,    0
100814,19790410,    0,    0
100814,19790411,    0,    0
100814,19790412,    0,    0
100814,19790413,    0,    0
100814,19790414,    0,    0
100814,19790415,    0,    0
100814,19790416,    8,    0
100814,19790417,   25,    0
100814,19790418,   19,    0
100814,19790419,    0,    0
100814,19790420,    0,    0
100814,19790421,    0,    0
100814,19790422,    0,    0
100814,19790423,    0,    0
100814,19790424,    0,    0
100814,19790425,    0,    0
100814,19790426,    0,    0
100814,19790427,    5,    0
100814,19790428,    7,    0
100814,19790429,    0,    0
100814,19790430,    5,    0
100814,19790501,    0,    0
100814,19790502,    0,    0
100814,19790503,    0,    0
100814,19790504,    0,    0
100814,19790505,    0,    0
100814,19790506,    8,    0
100814,19790507,  131,    0
100814,19790508,   65,    0
100814,19790509,    1,    0
100814,19790510,   13,    0
100814,19790511,   93,    0
100814,19790512,    1,    0
100814,19790513,   15,    0
100814,19790514,   12,    0
100814,19790515,    0,    0
100814,19790516,    2,    0
100814,19790517,    0,    0
100814,19790518,    0,    0
100814,19790519,    0,    0
100814,19790520,    0,    0
100814,19790521,   20,    0
100814,19790522,    0,    0
100814,19790523,    0,    0
100814,19790524,   23,    0
100814,19790525,    0,    0
100814,19790526,    0,    0
100814,19790527,    0,    0
100814,19790528,   20,    0
100814,19790529,    0,    0
100814,19790530,    0,    0
100814,19790531,    0,    0
100814,19790601,    0,    0
100814,19790602,    0,    0
100814,19790603,    0,    0
100814,19790604,    0,    0
100814,19790605,    0,    0
100814,19790606,    0,    0
100814,19790607,    0,    0
100814,19790608,   13,    0
100814,19790609,  112,    0
100814,19790610,    0,    0
100814,19790611,    0,    0
100814,19790612,    0,    0
100814,19790613,    0,    0
100814,19790614,    7,    0
100814,19790615,    0,    0
100814,19790616,   24,    0
100814,19790617,    0,    0
100814,19790618,   77,    0
100814,19790619,   35,    0
100814,19790620,  107,    0
100814,19790621,   14,    0
100814,19790622,  257,    0
100814,19790623,   91,    0
100814,19790624,    0,    0
100814,19790625,    0,    0
100814,19790626,    0,    0
100814,19790627,    0,    0
100814,19790628,    0,    0
100814,19790629,   20,    0
100814,19790630,    0,    0
100814,19790701,    0,    0
100814,19790702,    0,    0
100814,19790703,   21,    0
100814,19790704,    4,    0
100814,19790705,    2,    0
100814,19790706,    0,    0
100814,19790707,   64,    0
100814,19790708,   43,    0
100814,19790709,   21,    0
100814,19790710,    0,    0
100814,19790711,    0,    0
100814,19790712,    0,    0
100814,19790713,    0,    0
100814,19790714,    0,    0
100814,19790715,    0,    0
100814,19790716,    0,    0
100814,19790717,   13,    0
100814,19790718,    0,    0
100814,19790719,    0,    0
100814,19790720,    0,    0
100814,19790721,    0,    0
100814,19790722,    0,    0
100814,19790723,   46,    0
100814,19790724,    0,    0
100814,19790725,    0,    0
100814,19790726,    0,    0
100814,19790727,    0,    0
100814,19790728,   24,    0
100814,19790729,    0,    0
100814,19790730,    0,    0
100814,19790731,    0,    0
100814,19790801,    0,    0
100814,19790802,    0,    0
100814,19790803,    0,    0
100814,19790804,    0,    0
100814,19790805,    0,    0
100814,19790806,    0,    0
100814,19790807,    0,    0
100814,19790808,    0,    0
100814,19790809,   34,    0
100814,19790810,    0,    0
100814,19790811,  145,    0
100814,19790812,  101,    0
100814,19790813,    5,    0
100814,19790814,    5,    0
100814,19790815,   47,    0
100814,19790816,  324,    0
100814,19790817,    0,    0
100814,19790818,   14,    0
100814,19790819,   72,    0
100814,19790820,    0,    0
100814,19790821,  281,    0
100814,19790822,   88,    0
100814,19790823,    0,    0
100814,19790824,    0,    0
100814,19790825,    3,    0
100814,19790826,    0,    0
100814,19790827,   23,    0
100814,19790828,    0,    0
100814,19790829,   25,    0
100814,19790830,    0,    0
100814,19790831,    0,    0
100814,19790901,    0,    0
100814,19790902,    0,    0
100814,19790903,    0,    0
100814,19790904,  100,    0
100814,19790905,   81,    0
100814,19790906,    8,    0
100814,19790907,    0,    0
100814,19790908,    0,    0
100814,19790909,    0,    0
100814,19790910,    0,    0
100814,19790911,    0,    0
100814,19790912,    0,    0
100814,19790913,    0,    0
100814,19790914,    0,    0
100814,19790915,   20,    0
100814,19790916,    8,    0
100814,19790917,    0,    0
100814,19790918,    0,    0
100814,19790919,    0,    0
100814,19790920,    0,    0
100814,19790921,    0,    0
100814,19790922,    0,    0
100814,19790923,    0,    0
100814,19790924,    2,    0
100814,19790925,   48,    0
100814,19790926,    0,    0
100814,19790927,    0,    0
100814,19790928,    0,    0
100814,19790929,    0,    0
100814,19790930,    0,    0
100814,19791001,    0,    0
100814,19791002,    1,    0
100814,19791003,    0,    0
100814,19791004,    0,    0
100814,19791005,    0,    0
100814,19791006,  473,    0
100814,19791007,    4,    0
100814,19791008,    0,    0
100814,19791009,    0,    0
100814,19791010,    0,    0
100814,19791011,    0,    0
100814,19791012,    0,    0
100814,19791013,    4,    0
100814,19791014,    0,    0
100814,19791015,    0,    0
100814,19791016,    0,    0
100814,19791017,    4,    0
100814,19791018,   31,    0
100814,19791019,   12,    0
100814,19791020,    4,    0
100814,19791021,    0,    0
100814,19791022,    0,    0
100814,19791023,   11,    0
100814,19791024,    0,    0
100814,19791025,    0,    0
100814,19791026,    0,    0
100814,19791027,    0,    0
100814,19791028,    0,    0
100814,19791029,   76,    0
100814,19791030,   66,    0
100814,19791031,   53,    0
100814,19791101,    0,    0
100814,19791102,    0,    0
100814,19791103,    0,    0
100814,19791104,    3,    0
100814,19791105,   62,    0
100814,19791106,   27,    0
100814,19791107,    0,    0
100814,19791108,    4,    0
100814,19791109,    0,    0
100814,19791110,    0,    0
100814,19791111,   66,    0
100814,19791112,    5,    0
100814,19791113,    0,    0
100814,19791114,    0,    0
100814,19791115,    0,    0
100814,19791116,   26,    0
100814,19791117,    0,    0
100814,19791118,   87,    0
100814,19791119,   26,    0
100814,19791120,    5,    0
100814,19791121,    2,    0
100814,19791122,    0,    0
100814,19791123,   49,    0
100814,19791124,    7,    0
100814,19791125,   13,    0
100814,19791126,    0,    0
100814,19791127,   28,    0
100814,19791128,    2,    0
100814,19791129,   11,    0
100814,19791130,    0,    0
100814,19791201,    0,    0
100814,19791202,    0,    0
100814,19791203,    0,    0
100814,19791204,    0,    0
100814,19791205,    0,    0
100814,19791206,    0,    0
100814,19791207,    0,    0
100814,19791208,    0,    0
100814,19791209,    0,    0
100814,19791210,    0,    0
100814,19791211,  211,    0
100814,19791212,  112,    0
100814,19791213,    0,    0
100814,19791214,    6,    0
100814,19791215,    3,    0
100814,19791216,   24,    0
100814,19791217,    0,    0
100814,19791218,    0,    0
100814,19791219,    0,    0
100814,19791220,    0,    0
100814,19791221,    0,    0
100814,19791222,    0,    0
100814,19791223,   26,    0
100814,19791224,    2,    0
100814,19791225,    0,    0
100814,19791226,    0,    0
100814,19791227,    0,    0
100814,19791228,    0,    0
100814,19791229,   10,    0
100814,19791230,   56,    0
100814,19791231,  166,    0
100814,19800101,    0,    0
100814,19800102,   73,    0
100814,19800103,   74,    0
100814,19800104,    6,    0
100814,19800105,    0,    0
100814,19800106,    5,    0
100814,19800107,   21,    0
100814,19800108,   16,    0
100814,19800109,    1,    0
100814,19800110,    0,    0
100814,19800111,    0,    0
100814,19800112,    0,    0
100814,19800113,    0,    0
100814,19800114,    0,    0
100814,19800115,    0,    0
100814,19800116,    0,    0
100814,19800117,    0,    0
100814,19800118,    0,    0
100814,19800119,    0,    0
100814,19800120,    0,    0
100814,19800121,    3,    0
100814,19800122,    0,    0
100814,19800123,    4,    0
100814,19800124,   65,    0
100814,19800125,   78,    0
100814,19800126,    6,    0
100814,19800127,   14,    0
100814,19800128,    0,    0
100814,19800129,    1,    0
100814,19800130,    0,    0
100814,19800131,    0,    0
100814,19800201,   16,    0
100814,19800202,    0,    0
100814,19800203,   29,    0
100814,19800204,   28,    0
100814,19800205,  122,    0
100814,19800206,    0,    0
100814,19800207,    0,    0
100814,19800208,    0,    0
100814,19800209,    0,    0
100814,19800210,    0,    0
100814,19800211,    6,    0
100814,19800212,   38,    0
100814,19800213,    0,    0
100814,19800214,    0,    0
100814,19800215,    0,    0
100814,19800216,    0,    0
100814,19800217,    0,    0
100814,19800218,    0,    0
100814,19800219,    0,    0
100814,19800220,    0,    0
100814,19800221,    0,    0
100814,19800222,    0,    0
100814,19800223,    0,    0
100814,19800224,    0,    0
100814,19800225,    0,    0
100814,19800226,    0,    0
100814,19800227,    0,    0
100814,19800228,    6,    0
100814,19800229,   33,    0
100814,19800301,   40,    0
100814,19800302,    0,    0
100814,19800303,   55,    0
100814,19800304,    3,    0
100814,19800305,    0,    0
100814,19800306,    1,    0
100814,19800307,   24,    0
100814,19800308,  149,    0
100814,19800309,    6,    0
100814,19800310,    0,    0
100814,19800311,    0,    0
100814,19800312,    0,    0
100814,19800313,    0,    0
100814,19800314,    0,    0
100814,19800315,    0,    0
100814,19800316,   38,    0
100814,19800317,    1,    0
100814,19800318,    0,    0
100814,19800319,    0,    0
100814,19800320,    0,    0
100814,19800321,   91,    0
100814,19800322,   79,    0
100814,19800323,   68,    0
100814,19800324,   18,    0
100814,19800325,    0,    0
100814,19800326,   67,    0
100814,19800327,    0,    0
100814,19800328,    0,    0
100814,19800329,    0,    0
100814,19800330,   73,    0
100814,19800331,    1,    0
100814,19800401,    0,    0
100814,19800402,    0,    0
100814,19800403,   15,    0
100814,19800404,    0,    0
100814,19800405,    5,    0
100814,19800406,    0,    0
100814,19800407,    9,    0
100814,19800408,    8,    0
100814,19800409,    0,    0
100814,19800410,   49,    0
100814,19800411,    1,    0
100814,19800412,    0,    0
100814,19800413,    0,    0
100814,19800414,    0,    0
100814,19800415,    0,    0
100814,19800416,    0,    0
100814,19800417,    0,    0
100814,19800418,    0,    0
100814,19800419,    8,    0
100814,19800420,   13,    0
100814,19800421,   32,    0
100814,19800422,    2,    0
100814,19800423,    5,    0
100814,19800424,   16,    0
100814,19800425,    0,    0
100814,19800426,    0,    0
100814,19800427,   47,    0
100814,19800428,    0,    0
100814,19800429,   50,    0
100814,19800430,    0,    0
100814,19800501,   35,    0
100814,19800502,    0,    0
100814,19800503,  121,    0
100814,19800504,    0,    0
